CARD_TYPE,COUNT,PERIOD,TRAIN_LINE
Free Travel,"1,338",September 2016,T3 Bankstown Line
School Student,"50,754",September 2016,T3 Bankstown Line
Senior/Pensioner,"251,984",September 2016,T3 Bankstown Line
Sgl Trip Rail Adult,"15,599",September 2016,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"4,930",September 2016,T3 Bankstown Line
Adult,"4,212,808",September 2016,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"179,420",September 2016,T4 Eastern Suburbs and Illawarra Line
Concession,"284,622",September 2016,T4 Eastern Suburbs and Illawarra Line
CTP,nan,September 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,September 2016,T4 Eastern Suburbs and Illawarra Line
Employee,"49,010",September 2016,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,427",September 2016,T4 Eastern Suburbs and Illawarra Line
School Student,"124,366",September 2016,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"470,868",September 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"40,215",September 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"10,108",September 2016,T4 Eastern Suburbs and Illawarra Line
Adult,"358,049",September 2016,T5 Cumberland Line
Child/Youth,"14,349",September 2016,T5 Cumberland Line
Concession,"41,002",September 2016,T5 Cumberland Line
CTP,nan,September 2016,T5 Cumberland Line
Employee,"3,264",September 2016,T5 Cumberland Line
Free Travel,132,September 2016,T5 Cumberland Line
School Student,"13,163",September 2016,T5 Cumberland Line
Senior/Pensioner,"52,382",September 2016,T5 Cumberland Line
Sgl Trip Rail Adult,"2,136",September 2016,T5 Cumberland Line
Sgl Trip Rail Child/Youth,581,September 2016,T5 Cumberland Line
Adult,"35,855",September 2016,T6 Carlingford Line
Child/Youth,886,September 2016,T6 Carlingford Line
Concession,"3,481",September 2016,T6 Carlingford Line
CTP,nan,September 2016,T6 Carlingford Line
Day Pass without SAF,nan,September 2016,T6 Carlingford Line
Employee,213,September 2016,T6 Carlingford Line
Free Travel,24,September 2016,T6 Carlingford Line
School Student,557,September 2016,T6 Carlingford Line
Senior/Pensioner,"3,831",September 2016,T6 Carlingford Line
Sgl Trip Rail Adult,63,September 2016,T6 Carlingford Line
Sgl Trip Rail Child/Youth,7,September 2016,T6 Carlingford Line
Adult,"102,987",September 2016,T7 Olympic Park Line
Child/Youth,"5,995",September 2016,T7 Olympic Park Line
Concession,"8,768",September 2016,T7 Olympic Park Line
CTP,nan,September 2016,T7 Olympic Park Line
Day Pass without SAF,nan,September 2016,T7 Olympic Park Line
Employee,484,September 2016,T7 Olympic Park Line
Free Travel,49,September 2016,T7 Olympic Park Line
School Student,"1,768",September 2016,T7 Olympic Park Line
Senior/Pensioner,"8,645",September 2016,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,124",September 2016,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,296,September 2016,T7 Olympic Park Line
Adult,"570,413",September 2016,Blue Mountains Line
Child/Youth,"35,034",September 2016,Blue Mountains Line
Concession,"59,729",September 2016,Blue Mountains Line
CTP,nan,September 2016,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,September 2016,Blue Mountains Line
Day Pass without SAF,nan,September 2016,Blue Mountains Line
Employee,"11,397",September 2016,Blue Mountains Line
Free Travel,"1,090",September 2016,Blue Mountains Line
School Student,"24,076",September 2016,Blue Mountains Line
Senior/Pensioner,"108,657",September 2016,Blue Mountains Line
Sgl Trip Rail Adult,"6,382",September 2016,Blue Mountains Line
Sgl Trip Rail Child/Youth,"2,018",September 2016,Blue Mountains Line
Adult,"1,090,172",September 2016,Central Coast Newcastle Line
Child/Youth,"71,814",September 2016,Central Coast Newcastle Line
Concession,"115,934",September 2016,Central Coast Newcastle Line
CTP,nan,September 2016,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,September 2016,Central Coast Newcastle Line
Day Pass without SAF,nan,September 2016,Central Coast Newcastle Line
Employee,"24,260",September 2016,Central Coast Newcastle Line
Free Travel,"2,416",September 2016,Central Coast Newcastle Line
School Student,"70,607",September 2016,Central Coast Newcastle Line
Senior/Pensioner,"224,307",September 2016,Central Coast Newcastle Line
Sgl Trip Rail Adult,"13,838",September 2016,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"3,664",September 2016,Central Coast Newcastle Line
Adult,"36,901",September 2016,Hunter Line
Child/Youth,"4,407",September 2016,Hunter Line
Concession,"9,543",September 2016,Hunter Line
CTP,nan,September 2016,Hunter Line
Day Pass Child/Youth w/o SAF,nan,September 2016,Hunter Line
Day Pass without SAF,nan,September 2016,Hunter Line
Employee,713,September 2016,Hunter Line
Free Travel,92,September 2016,Hunter Line
School Student,"4,351",September 2016,Hunter Line
Senior/Pensioner,"17,892",September 2016,Hunter Line
Sgl Trip Rail Adult,749,September 2016,Hunter Line
Sgl Trip Rail Child/Youth,367,September 2016,Hunter Line
Adult,"577,663",September 2016,South Coast Line
Child/Youth,"36,102",September 2016,South Coast Line
Concession,"65,889",September 2016,South Coast Line
CTP,nan,September 2016,South Coast Line
Day Pass Child/Youth w/o SAF,nan,September 2016,South Coast Line
Day Pass without SAF,nan,September 2016,South Coast Line
Employee,"8,294",September 2016,South Coast Line
Free Travel,826,September 2016,South Coast Line
School Student,"22,494",September 2016,South Coast Line
Senior/Pensioner,"107,078",September 2016,South Coast Line
Sgl Trip Rail Adult,"6,546",September 2016,South Coast Line
Sgl Trip Rail Child/Youth,"1,724",September 2016,South Coast Line
Adult,"49,022",September 2016,Southern Highlands Line
Child/Youth,"6,421",September 2016,Southern Highlands Line
Concession,"6,132",September 2016,Southern Highlands Line
CTP,nan,September 2016,Southern Highlands Line
Day Pass without SAF,nan,September 2016,Southern Highlands Line
Employee,949,September 2016,Southern Highlands Line
Free Travel,240,September 2016,Southern Highlands Line
School Student,"1,499",September 2016,Southern Highlands Line
Senior/Pensioner,"20,921",September 2016,Southern Highlands Line
Sgl Trip Rail Adult,581,September 2016,Southern Highlands Line
Sgl Trip Rail Child/Youth,236,September 2016,Southern Highlands Line
Adult,nan,September 2016,Station Link
Child/Youth,nan,September 2016,Station Link
Concession,nan,September 2016,Station Link
Day Pass without SAF,nan,September 2016,Station Link
Employee,nan,September 2016,Station Link
Free Travel,nan,September 2016,Station Link
School Student,nan,September 2016,Station Link
Senior/Pensioner,nan,September 2016,Station Link
Sgl Trip Rail Adult,nan,September 2016,Station Link
Sgl Trip Rail Child/Youth,nan,September 2016,Station Link
Adult,nan,September 2016,T1 North Shore Line
Child/Youth,nan,September 2016,T1 North Shore Line
Concession,nan,September 2016,T1 North Shore Line
CTP,nan,September 2016,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T1 North Shore Line
Day Pass without SAF,nan,September 2016,T1 North Shore Line
Employee,nan,September 2016,T1 North Shore Line
Free Travel,nan,September 2016,T1 North Shore Line
School Student,nan,September 2016,T1 North Shore Line
Senior/Pensioner,nan,September 2016,T1 North Shore Line
Sgl Trip Rail Adult,nan,September 2016,T1 North Shore Line
Sgl Trip Rail Child/Youth,nan,September 2016,T1 North Shore Line
Adult,nan,September 2016,T1 Northern Line
Child/Youth,nan,September 2016,T1 Northern Line
Concession,nan,September 2016,T1 Northern Line
CTP,nan,September 2016,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T1 Northern Line
Day Pass without SAF,nan,September 2016,T1 Northern Line
Employee,nan,September 2016,T1 Northern Line
Free Travel,nan,September 2016,T1 Northern Line
School Student,nan,September 2016,T1 Northern Line
Senior/Pensioner,nan,September 2016,T1 Northern Line
Sgl Trip Rail Adult,nan,September 2016,T1 Northern Line
Sgl Trip Rail Child/Youth,nan,September 2016,T1 Northern Line
Adult,nan,September 2016,T1 Western Line
Child/Youth,nan,September 2016,T1 Western Line
Concession,nan,September 2016,T1 Western Line
CTP,nan,September 2016,T1 Western Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T1 Western Line
Day Pass without SAF,nan,September 2016,T1 Western Line
Employee,nan,September 2016,T1 Western Line
Free Travel,nan,September 2016,T1 Western Line
School Student,nan,September 2016,T1 Western Line
Senior/Pensioner,nan,September 2016,T1 Western Line
Sgl Trip Rail Adult,nan,September 2016,T1 Western Line
Sgl Trip Rail Child/Youth,nan,September 2016,T1 Western Line
Adult,nan,September 2016,T2 Inner West Line
Child/Youth,nan,September 2016,T2 Inner West Line
Concession,nan,September 2016,T2 Inner West Line
CTP,nan,September 2016,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T2 Inner West Line
Day Pass without SAF,nan,September 2016,T2 Inner West Line
Employee,nan,September 2016,T2 Inner West Line
Free Travel,nan,September 2016,T2 Inner West Line
School Student,nan,September 2016,T2 Inner West Line
Senior/Pensioner,nan,September 2016,T2 Inner West Line
Sgl Trip Rail Adult,nan,September 2016,T2 Inner West Line
Sgl Trip Rail Child/Youth,nan,September 2016,T2 Inner West Line
Adult,nan,September 2016,T2 Leppington Line
Child/Youth,nan,September 2016,T2 Leppington Line
Concession,nan,September 2016,T2 Leppington Line
CTP,nan,September 2016,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T2 Leppington Line
Day Pass without SAF,nan,September 2016,T2 Leppington Line
Employee,nan,September 2016,T2 Leppington Line
Free Travel,nan,September 2016,T2 Leppington Line
School Student,nan,September 2016,T2 Leppington Line
Senior/Pensioner,nan,September 2016,T2 Leppington Line
Sgl Trip Rail Adult,nan,September 2016,T2 Leppington Line
Sgl Trip Rail Child/Youth,nan,September 2016,T2 Leppington Line
Adult,nan,September 2016,T8 Airport and South Line
Child/Youth,nan,September 2016,T8 Airport and South Line
Concession,nan,September 2016,T8 Airport and South Line
CTP,nan,September 2016,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T8 Airport and South Line
Day Pass without SAF,nan,September 2016,T8 Airport and South Line
Employee,nan,September 2016,T8 Airport and South Line
Free Travel,nan,September 2016,T8 Airport and South Line
School Student,nan,September 2016,T8 Airport and South Line
Senior/Pensioner,nan,September 2016,T8 Airport and South Line
Sgl Trip Rail Adult,nan,September 2016,T8 Airport and South Line
Sgl Trip Rail Child/Youth,nan,September 2016,T8 Airport and South Line
Adult,nan,September 2016,T9 Northern Line
Child/Youth,nan,September 2016,T9 Northern Line
Concession,nan,September 2016,T9 Northern Line
CTP,nan,September 2016,T9 Northern Line
Employee,nan,September 2016,T9 Northern Line
Free Travel,nan,September 2016,T9 Northern Line
School Student,nan,September 2016,T9 Northern Line
Senior/Pensioner,nan,September 2016,T9 Northern Line
Sgl Trip Rail Adult,nan,September 2016,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,September 2016,T9 Northern Line
Total,"30,648,352",September 2016,Grand Total
Adult,"8,778,524",October 2016,"T1 North Shore, Northern and Western Line"
Child/Youth,"438,430",October 2016,"T1 North Shore, Northern and Western Line"
Concession,"839,434",October 2016,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,October 2016,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,October 2016,"T1 North Shore, Northern and Western Line"
Employee,"110,616",October 2016,"T1 North Shore, Northern and Western Line"
Free Travel,"11,744",October 2016,"T1 North Shore, Northern and Western Line"
School Student,"338,381",October 2016,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,"971,764",October 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,"80,716",October 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,"22,204",October 2016,"T1 North Shore, Northern and Western Line"
Adult,"5,328,090",October 2016,"T2 Airport, Inner West and South Line"
Child/Youth,"235,099",October 2016,"T2 Airport, Inner West and South Line"
Concession,"486,778",October 2016,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,October 2016,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,October 2016,"T2 Airport, Inner West and South Line"
Employee,"69,185",October 2016,"T2 Airport, Inner West and South Line"
Free Travel,"6,483",October 2016,"T2 Airport, Inner West and South Line"
School Student,"133,585",October 2016,"T2 Airport, Inner West and South Line"
Senior/Pensioner,"610,371",October 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,"145,110",October 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,"17,857",October 2016,"T2 Airport, Inner West and South Line"
Adult,"1,691,384",October 2016,T3 Bankstown Line
Child/Youth,"91,282",October 2016,T3 Bankstown Line
Concession,"168,905",October 2016,T3 Bankstown Line
CTP,nan,October 2016,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,October 2016,T3 Bankstown Line
Day Pass without SAF,nan,October 2016,T3 Bankstown Line
Employee,"15,093",October 2016,T3 Bankstown Line
Free Travel,"1,361",October 2016,T3 Bankstown Line
School Student,"46,327",October 2016,T3 Bankstown Line
Senior/Pensioner,"259,218",October 2016,T3 Bankstown Line
Sgl Trip Rail Adult,"15,796",October 2016,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"4,582",October 2016,T3 Bankstown Line
Adult,"4,042,741",October 2016,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"174,816",October 2016,T4 Eastern Suburbs and Illawarra Line
Concession,"266,306",October 2016,T4 Eastern Suburbs and Illawarra Line
CTP,nan,October 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,October 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,October 2016,T4 Eastern Suburbs and Illawarra Line
Employee,"47,159",October 2016,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,084",October 2016,T4 Eastern Suburbs and Illawarra Line
School Student,"115,269",October 2016,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"464,795",October 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"39,610",October 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"9,427",October 2016,T4 Eastern Suburbs and Illawarra Line
Adult,"349,051",October 2016,T5 Cumberland Line
Child/Youth,"15,450",October 2016,T5 Cumberland Line
Concession,"39,062",October 2016,T5 Cumberland Line
CTP,nan,October 2016,T5 Cumberland Line
Employee,"2,972",October 2016,T5 Cumberland Line
Free Travel,131,October 2016,T5 Cumberland Line
School Student,"11,856",October 2016,T5 Cumberland Line
Senior/Pensioner,"53,139",October 2016,T5 Cumberland Line
Sgl Trip Rail Adult,"2,151",October 2016,T5 Cumberland Line
Sgl Trip Rail Child/Youth,522,October 2016,T5 Cumberland Line
Adult,"33,920",October 2016,T6 Carlingford Line
Child/Youth,976,October 2016,T6 Carlingford Line
Concession,"3,184",October 2016,T6 Carlingford Line
CTP,nan,October 2016,T6 Carlingford Line
Day Pass without SAF,nan,October 2016,T6 Carlingford Line
Employee,244,October 2016,T6 Carlingford Line
Free Travel,22,October 2016,T6 Carlingford Line
School Student,579,October 2016,T6 Carlingford Line
Senior/Pensioner,"3,566",October 2016,T6 Carlingford Line
Sgl Trip Rail Adult,45,October 2016,T6 Carlingford Line
Sgl Trip Rail Child/Youth,3,October 2016,T6 Carlingford Line
Adult,"116,328",October 2016,T7 Olympic Park Line
Child/Youth,"6,631",October 2016,T7 Olympic Park Line
Concession,"9,347",October 2016,T7 Olympic Park Line
CTP,nan,October 2016,T7 Olympic Park Line
Day Pass without SAF,nan,October 2016,T7 Olympic Park Line
Employee,575,October 2016,T7 Olympic Park Line
Free Travel,41,October 2016,T7 Olympic Park Line
School Student,"1,625",October 2016,T7 Olympic Park Line
Senior/Pensioner,"11,173",October 2016,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,303",October 2016,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,304,October 2016,T7 Olympic Park Line
Adult,"571,910",October 2016,Blue Mountains Line
Child/Youth,"38,633",October 2016,Blue Mountains Line
Concession,"56,798",October 2016,Blue Mountains Line
CTP,nan,October 2016,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,October 2016,Blue Mountains Line
Day Pass without SAF,nan,October 2016,Blue Mountains Line
Employee,"11,079",October 2016,Blue Mountains Line
Free Travel,"1,020",October 2016,Blue Mountains Line
School Student,"21,476",October 2016,Blue Mountains Line
Senior/Pensioner,"116,986",October 2016,Blue Mountains Line
Sgl Trip Rail Adult,"6,124",October 2016,Blue Mountains Line
Sgl Trip Rail Child/Youth,"1,855",October 2016,Blue Mountains Line
Adult,"1,051,048",October 2016,Central Coast Newcastle Line
Child/Youth,"71,828",October 2016,Central Coast Newcastle Line
Concession,"114,758",October 2016,Central Coast Newcastle Line
CTP,nan,October 2016,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,October 2016,Central Coast Newcastle Line
Day Pass without SAF,nan,October 2016,Central Coast Newcastle Line
Employee,"22,889",October 2016,Central Coast Newcastle Line
Free Travel,"2,261",October 2016,Central Coast Newcastle Line
School Student,"64,200",October 2016,Central Coast Newcastle Line
Senior/Pensioner,"224,676",October 2016,Central Coast Newcastle Line
Sgl Trip Rail Adult,"13,312",October 2016,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"3,304",October 2016,Central Coast Newcastle Line
Adult,"35,439",October 2016,Hunter Line
Child/Youth,"4,616",October 2016,Hunter Line
Concession,"10,852",October 2016,Hunter Line
CTP,nan,October 2016,Hunter Line
Day Pass Child/Youth w/o SAF,nan,October 2016,Hunter Line
